"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegepygmy Commoner/Worker,Small,Plant,Fungus,Unaligned,1/8,,,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,239,,,Giant Ram,Large,Fey,,Unaligned,1,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,153,,,,,,,,,,,
Vegepygmy Guard,Small,Plant,Fungus,Unaligned,1/2,,,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,239,,,Giant Tick,Medium,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,153,,,,,,,,,,,
Vegepygmy Moldmaker,Small,Plant,,Neutral,3,,,,,,,,,,,,,,,,,,,,Quests from the Infinite Staircase,218,,,Gigant,Gargantuan,Monstrosity,,Unaligned,20,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,154,,,,,,,,,,,
Vegepygmy Scavenger,Small,Plant,,Neutral,1/4,,,,,,,,,,,,,,,,,,,,Quests from the Infinite Staircase,218,,,Goliath Giant-Kin,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,155,,,,,,,,,,,
Vegepygmy Thorny Hunter,Medium,Plant,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Quests from the Infinite Staircase,219,,,Grinning Cat,Large,Fey,,Chaotic Neutral,1,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,156,,,,,,,,,,,
Vellin Farstride,Small,Humanoid,Halfling,Neutral Good,9,,,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,62,,,Hill Giant Avalancher,Huge,Giant,Druid,Any,12,,x,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,157,,,,,,,,,,,
Vellso,Medium,Fiend,Demon,Chaotic Evil,7,,,,,,,,,,,,,,,,,,,x,Creature Codex,92,,,Lightning Hulk,Large,Elemental,,Chaotic Neutral,9,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,158,,,,,,,,,,,
Vellyne Harpell,Medium,Humanoid,Human,Neutral,4,,x,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,274,,,Maw of Yeenoghu,Huge,Fiend,Demon,Chaotic Evil,10,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,159,,,,,,,,,,,
Velociraptor,Tiny,Beast,dinosaur,Unaligned,1/4,,,,,,,,,,,x,x,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,96,"Volo's Guide to Monsters 140, Tomb of Annihilation 235",,Mist Hulk,Large,Elemental,,Chaotic Neutral,6,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,160,,,,,,,,,,,
Velomachus Lorehold,Gargantuan,Dragon,Wizard,Lawful Neutral,25,,x,x,,x,,,,,,,,,,,,,,,Strixhaven: A Cirriculum of Chaos,219,,,Mud Hulk,Large,Elemental,,Chaotic Evil,3,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,161,,,,,,,,,,,
Venom Elemental,Large,Elemental,,Neutral,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,140,,,Rime Hulk,Large,Elemental,,Neutral Evil,5,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,162,,,,,,,,,,,
Venom Maw Hydra,Huge,Monstrosity,,Unaligned,12,,,x,,,,,,,,,,,,x,,,,,Creature Codex,370,,,Runic Colossus,Gargantuan,Construct,,Unaligned,21,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,163,,,,,,,,,,,
Venom Troll,Large,Giant,,Chaotic Evil,5,,,,,,,,,,,,,,,ø,ø,,,,Monster a Day Compendium 2.0,212,,,Cradle of the Hill Scion,Gargantuan,Elemental,,Chaotic Evil,22,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,164,,,,,,,,,,,
Venom Troll,Large,Giant,,Chaotic Evil,7,,,,,,,,,,,x,,,,x,x,,,,Mordenkainen Presents: Monsters of the Multiverse,248,Mordenkainen's Tome of Foes 245,,Scion of Grolantor,Gargantuan,Giant,Titan,Chaotic Evil,22,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,165,,,,,,,,,,,
Venomous Mummy,Medium,Undead,Mummy,Lawful Neutral,3,,,,,,,,,,ø,,,,,ø,,,,,Tome of Beasts,299,,,Cradle of the Cloud Scion,Gargantuan,Elemental,,Chaotic Neutral,26,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,166,,,,,,,,,,,
Vent Linnorm,Gargantuan,Dragon,,Neutral Evil,16,,,,,,,,,,,,,,,,,x,,,Tome of Beasts 2,239,,,Scion of Memnor,Gargantuan,Giant,Titan,Chaotic Neutral,26,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,167,,,,,,,,,,,
Verbeeg Longstrider,Large,Giant,,Neutral,5,,x,,,,,,ø,,,,,ø,ø,,,,,,Icewind Dale: Rime of the Frostmaiden,311,,,Cradle of the Stone Scion,Gargantuan,Elemental,,Neutral,23,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,168,,,,,,,,,,,
Verbeeg Marauder,Large,Giant,,Neutral Evil,4,,,,,,,,ø,,,,,ø,ø,,,,,,Icewind Dale: Rime of the Frostmaiden,311,,,Scion of Skoraeus,Gargantuan,Giant,Titan,Neutal,23,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,169,,,,,,,,,,,
Verdalin,Small,Fey,,Neutral,1/2,,x,,,,,,,,,ø,ø,,,,,,,,Monster a Day Compendium 2.0,223,,,Cradle of the Storm Scion,Gargantuan,Elemental,,Chaotic Good,27,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,170,,,,,,,,,,,
Verin Thelyss,Medium,Humanoid,"Drow, Elf",Lawful Good,5,,x,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,51,,,Scion of Stronmaus,Gargantuan,Giant,Titan,Chaotic Good,27,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,171,,,,,,,,,,,
Vesiculosa,Gargantuan,Plant,,Unaligned,11,,,,,,,,,,ø,,,,,,,,,,Tome of Beasts,399,,,Cradle of the Fire Scion,Gargantuan,Elemental,,Lawful Evil,25,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,172,,,,,,,,,,,
Veteran,Medium,Humanoid,Any Race,Any,3,,,,,,,,x,x,,x,x,x,x,,x,,x,,Monster Manual,350,,,Scion of Surtur,Gargantuan,Giant,Titan,Lawful Evil,25,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,173,,,,,,,,,,,
Veteran Swordbreaker Skeleton,Medium,Undead,,Lawful Evil,3,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,332,,,Cradle of the Frost Scion,Gargantuan,Elemental,,Neutral Evil,24,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,174,,,,,,,,,,,
Vex'ahlia,Medium,Humanoid,half-elf,Not Provided,18,,x,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,267,,,Scion of Thrym,Gargantuan,Giant,Titan,Neutral Evil,24,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,175,,,,,,,,,,,
Vexxeh,Huge,Fiend,,Lawful Evil,6,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,360,,,Spectral Cloud,Huge,Undead,,Neutral,13,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,176,,,,,,,,,,,
Viari,Medium,Humanoid,Human,Chaotic Good,5,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,198,,,Spotted Lion,Huge,Beast,,Unaligned,3,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,177,,,,,,,,,,,
Vicious Blood Hawk,Small,Monstrosity,,Unaligned,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,27,,,Stalker of Baphomet,Huge,Fiend,Demon,Chaotic Evil,12,,x,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,178,,,,,,,,,,,
Viconia DeVir,Medium,Humanoid,Drow,Neutral Evil,13,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,126,,,Stone Giant of Evil Earth,Huge,Giant,,Neutral Evil,9,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,179,,,,,,,,,,,
Victoro Cassalanter,Medium,Humanoid,Half-Elf,Lawful Neutral,10,,x,,,x,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,218,,,Stone Giant Rockspeaker,Huge,Giant,Wizard,Any,16,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,180,,,,,,,,,,,
Viiret,Large,Plant,,Unaligned,3,,,,,,,,,,,,,,,x,,,,,Tome of Beasts 2,361,,,Storm Crab,Gargantuan,Monstrosity,,Unaligned,11,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,181,,,,,,,,,,,
Viktor,Medium,Humanoid,Human,Lawful Neutral,9,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,82,,,Storm Giant Tempest Caller,Huge,Giant,Sorcerer,Any,20,,x,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,182,,,,,,,,,,,
Vila,Medium,Fey,,Lawful Neutral,5,,x,,,,,,,,,ø,,,,,,,,,Tome of Beasts,400,,,Storm Herald,Huge,Aberration,,Lawful Evil,17,,x,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,183,,,,,,,,,,,
Vile Barber (Siabhra),Small,Fey,,Chaotic Evil,2,,,,,,,,,,,,,,,,,,,,Tome of Beasts,401,,,Tempest Spirit,Huge,Undead,,Chaotic Evil,15,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,184,,,,,,,,,,,
Vine Blight,Medium,Plant,,Neutral Evil,1/2,,,,,,,,,,,x,,,,,,,,,Monster Manual,32,,,Titanothere,Huge,Beast,,Unaligned,5,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,185,,,,,,,,,,,
Vine Drake,Medium,Dragon,,Neutral,7,,x,,,,,,,,,x,,,,x,,,,,Tome of Beasts 2,128,,,Troll Amalgam,Gargantuan,Giant,,Chaotic Evil,17,,,x,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,186,,,,,,,,,,,
Vine Golem,Medium,Construct,,Neutral,3,,,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,181,,,Troll Mutate,Large,Giant,,Chaotic Evil,7,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,187,,,,,,,,,,,
Vine Lord,Medium,Plant,,Lawful Neutral,7,,,,,,,,,,,ø,,,,ø,,,,,Tome of Beasts,402,,,Aartuk Elder,Large,Plant,,Lawful Evil,3,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,8,,,,,,,,,,,
Vine Terror,Large,Plant,,Unaligned,3,,,,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,224,,,Aartuk Priest,Medium,Plant,,Lawful Evil,2,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,9,,,,,,,,,,,
Vine Troll Skeleton,Large,Plant,,Unaligned,9,,,,,,,,,,,ø,,,,ø,,,,,Tome of Beasts,351,,,Aartuk Warrior,Medium,Plant,,Lawful Evil,2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,9,,,,,,,,,,,
Vines of Nemthyr,Large,Plant,,Neutral Evil,8,,,,,,,,,,,x,x,x,,,,,,,Creature Codex,371,,,Astral Elf Aristocrat,Medium,Humanoid,Wizard,Any,8,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,11,,,,,,,,,,,
Violet Fungus,Medium,Plant,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Monster Manual,138,,,Astral Elf Commander,Medium,Humanoid,,Any,7,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,12,,,,,,,,,,,
Virtuoso Lich,Medium,Undead,,Any Evil,12,,x,x,x,,,,,,,,,,,,,,x,,Tome of Beasts 2,238,,,Astral Elf Honor Guard,Medium,Humanoid,,Any,5,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,12,,,,,,,,,,,
Virulent Sliver,Large,Monstrosity,Sliver,Neutral Evil,3,,,,,,,,,ø,,ø,ø,ø,ø,ø,ø,,,,Monster a Day Compendium 2.0,189,,,Astral Elf Star Priest,Medium,Humanoid,Cleric,Any,4,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,13,,,,,,,,,,,
Vladimir Horngaard,Medium,Undead,,Lawful Neutral,7,,,,,x,,,,,,,,,,,,,ø,,Curse of Strahd,241,,,Astral Elf Warrior,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,13,,,,,,,,,,,
Vlazok,Large,Fiend,Demon,Chaotic Evil,11,,,,,,,,,,,,,,,,,,,,Vecna: Eve of Ruin,238,,,Autognome,Small,Construct,,Any,2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,14,,,,,,,,,,,
Vodyanoy,Medium,Monstrosity,,Chaotic Neutral,5,,x,,,,,,,,,ø,,,,ø,,,,,Monster a Day Compendium 2.0,225,,,Braxat,Huge,Giant,,Neutral Evil,9,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,15,,,,,,,,,,,
Void Cultist,Medium,Humanoid,Any Race,Neutral Evil,1/2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,407,,,B'rohg,Huge,Giant,,Any,6,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,16,,,,,,,,,,,
Void Dragon Wyrmling,Medium,Dragon,,Chaotic Neutral,2,,,,,,,,,,,,,,,,,,,ø,Tome of Beasts,140,,,Chwinga Astronaut,Tiny,Elemental,,Neutral,0,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,17,,,,,,,,,,,
Void Giant,Huge,Giant,,Chaotic Neutral,11,,x,,,,,,,,,,,,x,,,,,x,Creature Codex,187,,,Cosmic Horror,Gargantuan,Aberration,,Neutral Evil,18,,,x,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,18,Vecna: Eve of Ruin 215,,,,,,,,,,
Void Scavver,Huge,Monstrosity,,Unaligned,11,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,49,,,Dohwar,Small,Fey,,Any,0,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,19,,,,,,,,,,,
Void Speaker,Medium,Humanoid,Any Race,Neutral Evil,7,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,408,,,Esthetic,Gargantuan,Aberration,,Unaligned,12,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,20,,,,,,,,,,,
Voidling,Large,Aberration,,Chaotic Evil,11,,x,,,,,,,,,,,,,,,,,ø,Tome of Beasts,404,,,Eye Monger,Large,Aberration,,Lawful Evil,10,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,21,Vecna: Eve of Ruin 219,,,,,,,,,,
Voidpool,Large,Ooze,,Unaligned,5,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,362,,,Feyr,Large,Aberration,,Chaotic Evil,5,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,22,,,,,,,,,,,
Voidwracked Mage,Medium,Humanoid,Any Race,Chaotic Evil,8,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,409,,,Gaj,Large,Aberration,,Neutral Evil,4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,23,,,,,,,,,,,
"Volothamp ""Volo"" Geddarm",Medium,Humanoid,Human,Chaotic Good,1/4,,x,,,x,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,218,Tomb of Annihilation 235,,Giff Shipmate,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,24,,,,,,,,,,,
Volt,Small,Aberration,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,241,,,Giff Shock Trooper,Medium,Humanoid,,Any,6,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,25,,,,,,,,,,,
Voonith,Large,Beast,,Unaligned,1,,,,,,,,,,,,,,ø,,,,,x,Sandy Petersen's Cthulhu Mythos,391,,,Giff Warlord,Medium,Humanoid,,Any,10,,,x,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,25,,,,,,,,,,,
Vorin,Huge,Monstrosity,Aquatic,Chaotic Evil,9,,,,,,,,,,,,,,,x,,,,,Fifth Edition Foes,242,,,Githyanki Buccaneer,Medium,Humanoid,Gith,Any,3,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,27,,,,,,,,,,,
Vos'skyriss Serpentfolk,Large,Monstrosity,,Not Provided,3,,x,,,,,,,,ø,ø,,,,ø,,,,,Tal'Dorei Campaign Setting Reborn,258,,,Githyanki Star Seer,Medium,Humanoid,"Gith, Warlock",Any,7,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,27,,,,,,,,,,,
Vos'skyriss Serpentfolk Ghost,Large,Undead,,Not Provided,4,,,,,,,,,,ø,ø,,,,ø,,,,,Tal'Dorei Campaign Setting Reborn,258,,,Githyanki Xenomancer,Medium,Humanoid,"Gith, Druid",Any,9,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,27,,,,,,,,,,,
Vrock,Large,Fiend,Demon,Chaotic Evil,6,,,,,,,,,,,,,,,,,,,ø,Monster Manual,64,,,Hadozee Explorer,Medium,Humanoid,,Any,2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,28,,,,,,,,,,,
Vulchling,Medium,Monstrosity,,Chaotic Evil,1/8,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,243,,,Hadozee Shipmate,Medium,Humanoid,,Any,1/8,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,29,,,,,,,,,,,
Vulture,Medium,Beast,,Unaligned,0,,,,,,,,,,x,,x,x,,,,,,,Monster Manual,339,,,Hadozee Warrior,Medium,Humanoid,,Any,1/2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,29,,,,,,,,,,,
Walking Statue of Waterdeep,Gargantuan,Construct,,Unaligned,18,,,,,,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,219,,,Jammer Leech,Tiny,Plant,,Unaligned,1,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,30,,,,,,,,,,,
Walled Horror,Large,Undead,,Chaotic Evil,7,,,,,,,,,,,,,,,,x,,x,,Tome of Beasts 2,363,,,Kindori,Gargantuan,Celestial,,Unaligned,7,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,31,,,,,,,,,,,
Walnut Dankgrass,Medium,Humanoid,Elf,Lawful Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,204,,,Ancient Lunar Dragon,Gargantuan,Dragon,,Neutral Evil,19,,,x,x,,,,,,,,,,,,,,,,Boo's Astral Menagerie,32,,,,,,,,,,,
Walrus,Large,Beast,,Unaligned,1/4,,,,,,,,ø,ø,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,312,,,Adult Lunar Dragon,Huge,Dragon,,Neutral Evil,13,,,x,x,,,,,,,,,,,,,,,,Boo's Astral Menagerie,34,Vecna: Eve of Ruin 225,,,,,,,,,,
Wamp,Medium,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,ø,,,,,x,Sandy Petersen's Cthulhu Mythos,393,,,Young Lunar Dragon,Large,Dragon,,Neutral Evil,7,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,35,,,,,,,,,,,
Wampus Cat,Medium,Monstrosity,,Chaotic Neutral,1,,x,,,,,,,,,ø,,,,,,,,,Tome of Beasts,405,,,Lunar Dragon Wyrmling,Medium,Dragon,,Neutral Evil,2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,35,,,,,,,,,,,
Wanyudo,Large,Fiend,,Lawful Evil,8,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,364,,,Megapede,Gargantuan,Monstrosity,,Unaligned,11,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,36,,,,,,,,,,,
War,Medium,Fiend,,Neutral Evil,20,,,,,x,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,129,,,Mercane,Large,Giant,,Lawful Neutral,5,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,37,,,,,,,,,,,
War Chaplain,Medium,Humanoid,Any Race,Any Lawful,3,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,410,,,Murder Comet,Medium,Elemental,,Neutral Evil,5,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,38,,,,,,,,,,,
War Machine Golem,Gargantuan,Construct,,Unaligned,18,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,205,,,Neh-thalggu,Large,Aberration,,Chaotic Neutral,4,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,39,,,,,,,,,,,
War Mage,Medium,Humanoid,Human,Unaligned,2,,x,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,90,,,Neogi Hatchling Swarm,Medium,Aberration,Swarm,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,40,,,,,,,,,,,
War Ostrich,Large,Beast,,Unaligned,1/2,,,,,,,,,,ø,,ø,,,,,,,,Tome of Beasts,307,,,Neogi Pirate,Small,Aberration,,Lawful Evil,3,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,41,,,,,,,,,,,
War Pig,Huge,Beast,,Unaligned,4,,,,,,,,ø,,,ø,ø,ø,ø,ø,ø,,,,Monster a Day Compendium 2.0,143,,,Neogi Void Hunter,Medium,Aberration,Warlock,Lawful Evil,4,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,41,,,,,,,,,,,
War Priest,Medium,Humanoid,Any Race,Any ,8,,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,411,,,Plasmoid Boss,Large,Ooze,,Any,4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,42,,,,,,,,,,,
War Priest,Medium,Humanoid,cleric,Any,9,,x,,,,,,,,x,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,254,,,Plasmoid Explorer,Medium,Ooze,,Any,1/4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,43,,,,,,,,,,,
War Priest,Medium,Humanoid,Any Race,Any,9,,x,,,,,,,,x,,,,,,,,x,,Volo's Guide to Monsters,218,,,Plasmoid Warrior,Medium,Ooze,,Any,3,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,43,,,,,,,,,,,
War Titan,Huge,Fiend,Titan,Any Chaotic,16,,,x,,,,,,ø,ø,,ø,,,,,,,,Monster a Day Compendium 2.0,226,,,Psurlon,Medium,Aberration,,Lawful Evil,2,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,44,,,,,,,,,,,
War Troll,Large,Giant,,Chaotic Evil,9,,,,,,,,,ø,ø,,ø,,,,,,,,Monster a Day Compendium 2.0,213,,,Psurlon Leader,Medium,Aberration,,Lawful Evil,6,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,45,,,,,,,,,,,
War Wyvern,Large,Dragon,,Unaligned,7,,,,,,,,,,,,,x,x,,,,,,Creature Codex,386,,,Psurlon Ringer,Medium,Aberration,,Lawful,1,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,45,,,,,,,,,,,
Warden Archon,Large,Celestial,,Lawful Good,8,,x,,,,,,,,,,,,,,,,,x,Morte's Planar Parade,18,,,Reigar,Medium,Celestial,,Chaotic Neutral,8,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,47,,,,,,,,,,,
Wardu,Medium,Aberration,,Neutral Evil,6,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,365,,,Brown Scavver,Large,Monstrosity,,Unaligned,4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,49,,,,,,,,,,,
Warduke,Medium,Humanoid,Human,Chaotic Evil,5,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,221,,,Gray Scavver,Medium,Monstrosity,,Unaligned,1/4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,49,,,,,,,,,,,
Warforged Colossus,Gargantuan,Construct,,Unaligned,25,,,,,,,,,,,,,,,,,,,,Eberron: Rising from the Last War,314,,,Night Scavver,Huge,Monstrosity,,Unaligned,5,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,49,Vecna: Eve of Ruin 229,,,,,,,,,,
Warforged Soldier,Medium,Humanoid,Warforged,Any,1,,,,,,,,,,,,,,,,,,,,Eberron: Rising from the Last War,320,,,Void Scavver,Huge,Monstrosity,,Unaligned,11,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,49,,,,,,,,,,,
Warforged Titan,Huge,Construct,,Lawful Neutral,8,,,,,,,,,,,,,,,,,,,,Eberron: Rising from the Last War,315,,,Ancient Solar Dragon,Gargantuan,Dragon,,Neutral,20,,,x,x,,,,,,,,,,,,,,,,Boo's Astral Menagerie,50,,,,,,,,,,,
Warforged Warrior,Medium,Construct,,Any,1,,,,,,,,,,,,,,,,,,,,Vecna: Eve of Ruin,238,,,Adult Solar Dragon,Huge,Dragon,,Neutral,14,,,x,x,,,,,,,,,,,,,,,,Boo's Astral Menagerie,52,,,,,,,,,,,
Warhorse,Large,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,,x,,Monster Manual,340,"Player's Handbook 311, Rise of Tiamat Online Supplement 26",,Young Solar Dragon,Large,Dragon,,Neutral,8,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,53,,,,,,,,,,,
Warhorse Skeleton,Large,Undead,,Lawful Neutral,1/2,,,,,,,,,,,,,,,,,,x,,Monster Manual,272,,,Solar Dragon Wyrmling,Medium,Dragon,,Neutral,3,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,53,,,,,,,,,,,
Warlock of the Archfey,Medium,Humanoid,,Any,4,,x,,,,,,x,,,x,,,x,x,,,x,,Mordenkainen Presents: Monsters of the Multiverse,255,,,Space Clown,Medium,Fiend,,Chaotic Evil,2,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,54,,,,,,,,,,,
Warlock of the Archfey,Medium,Humanoid,Any Race,Any,4,,x,,,,,,x,,,,,,x,x,,,x,,Volo's Guide to Monsters,219,,,Space Eel,Small,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,55,,,,,,,,,,,
Warlock of the Fiend,Medium,Humanoid,,Any,7,,x,,,,,,x,,x,,,,,,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,255,,,Space Guppy,Small,Beast,,Unaligned,0,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,55,,,,,,,,,,,
